,text,user,location,label,Hash words
24,"περαστικά σας, επιτρέπεται τάξη είναι ? δημοτικό/γυμνάσιο/λύκειο? εμφάνισε…",Cassandra_ea,,1,No hashtags
25,έχω συμπτώματα πολλάκαι κομμένα τελείως πήγαινε έλα. είμαι χρόνια ασθενικόςκι αντί μάσκα φοράω εσένα τρέ…,West_Dark_Side,West Of Salonica City,1,No hashtags
26,Τι εννοείς κρούσμα; ξέρετε είναι κρούσματα; έχει συμπτώματα; Αν έχει είναι κρούσμα είναι ίσως φορέας,Karavanapalia1,,1,No hashtags
27,"λογικό,.και εγώ ίδια συμπτώματα εμφανίζω όταν ακούω nightwish",chris_koukouras,,1,No hashtags
28,"περαστικά γρήγορη ανάρρωση. Το έχω περάσει εγώ τρεις μήνες, χωρίς συμπτώματα. πολλούς χυμούς ξεκούραση!",vasikoula1,"Αττική, Ελλάς",1,No hashtags
29,πέρασαν δικοί όλοι. Η αδερφή (20)ηταν χειρότερα όλους είχε πολύ ήπια συμπτώματα. Κ…,ol1na,,1,No hashtags
30,περαστικά!!εύχομαι περάσει πολύ ελαφριά!!εγώ πέρασα πολύ ήπια συμπτώματα!!αν τηρήσεις οδ…,elenioanna1,,1,No hashtags
31,θέλω εγώ... έχω ακριβώς αυτά συμπτώματα,Chatzioannidi,Mykonos,1,No hashtags
32,"φορούσατε δύο μάσκα είσαι οκ, επίσης μεταδοτικός συνήθως, γίνεται κάποιος 2 μέρες εκδηλώσει συμπτώματα",CharaKara,"Bogotá, D.C., Colombia",1,No hashtags
33,"είχα επαφή κρούσμα, είχα συμπτώματα αλλά έκανα τεστ. Το β άρα;",Vrispao13,"Κεντρική Μακεδονία, Ελλάς",1,No hashtags
34,"Ως παθών περασμένο πάσχα ήπια έως μέτρια συμπτώματα, συμφωνώ απόλυτα μαζί σας.τα μέτρα είναι Α Ω.",19chdim61,"Zurich, Switzerland",1,No hashtags
35,"έμαθε κουμπάρος ότι αρρώστησα ενδιαφέρθηκε...να καλά! Τα πάντα ρώτησε, συμπτώματα, θέλω πά…",Kungarooooooo,"Ecatepec de Morelos, México",1,No hashtags
36,ποια είναι συμπτώματα τω μεταλλάξεων covid-19 πρέπει ξέρεις;,IonioPortal,,1,No hashtags
37,ποια είναι συμπτώματα τω μεταλλάξεων covid-19 πρέπει ξέρεις;,365newsgr,,1,No hashtags
38,ομγ τι; έχεις συμπτώματα;,BeJimiinjk,She/her/18/🇬🇷,1,No hashtags
39,"έμαθε κουμπάρος ότι αρρώστησα ενδιαφέρθηκε...να καλά! Τα πάντα ρώτησε, συμπτώματα, θέλω πά…",apostolosa62,Δαφνη αντι Δαφνι,1,No hashtags
40,"έμαθε κουμπάρος ότι αρρώστησα ενδιαφέρθηκε...να καλά! Τα πάντα ρώτησε, συμπτώματα, θέλω πά…",Siapan76,Ελλάς,1,No hashtags
41,"έμαθε κουμπάρος ότι αρρώστησα ενδιαφέρθηκε...να καλά! Τα πάντα ρώτησε, συμπτώματα, θέλω πά…",prof_touristas,,1,No hashtags
42,"έμαθε κουμπάρος ότι αρρώστησα ενδιαφέρθηκε...να καλά! Τα πάντα ρώτησε, συμπτώματα, θέλω πά…",marilouzou,"Athens, Greece",1,No hashtags
43,μέχρι στιγμής μόνη επίσημη ιατρική ανακοίνωση γ νοσηλευόμενο ασθενή π ότι φαίνεται προσποιήθηκε συμπτώματα τν εμβο…,gdmn1973,"Gramos, Dytiki Makedonia",1,No hashtags
44,μέχρι στιγμής μόνη επίσημη ιατρική ανακοίνωση γ νοσηλευόμενο ασθενή π ότι φαίνεται προσποιήθηκε συμπτώματα τν εμβο…,anatrig1,,1,No hashtags
45,μέχρι στιγμής μόνη επίσημη ιατρική ανακοίνωση γ νοσηλευόμενο ασθενή π ότι φαίνεται προσποιήθηκε συμπτώματα μετ…,loch_nerd,"Athens, Greece",1,No hashtags
46,"έμαθε κουμπάρος ότι αρρώστησα ενδιαφέρθηκε...να καλά! Τα πάντα ρώτησε, συμπτώματα, θέλω πά…",ToucH_3D,,1,No hashtags
47,"έμαθε κουμπάρος ότι αρρώστησα ενδιαφέρθηκε...να καλά! Τα πάντα ρώτησε, συμπτώματα, θέλω πά…",G__Tak7,,1,No hashtags
48,"πιθανόν ήταν κοβιντ, αφού είχε όλα συμπτώματα, αλλά κάνεις ήξερε. ούτε καν κοβιντ ήξε…",Gian_Nis,Ελλάς,1,No hashtags
49,"Α, εδε απ'όσο διάβασα τουλάχιστον, έχει καμία σχέση αναφερόμενα συμπτώματά του, αλλά με…",Magic_Tsatsara,Katw apo th muth sou,1,No hashtags
50,επειδή είχε διαταχθεί εδε πήγαινε προφασιζόταν συμπτώματα. κάνει εντύπωση τ…,twopisces69,"ΑΤΗΕΝS, HELLAS",1,No hashtags
51,"θετικοί κορονοϊό αλλά χωρίς συμπτώματα, τρεις τρόφιμοι γηροκομείου ναυπλίου μέσω",argolika_gr,Argolida,1,No hashtags
52,"rapid test νοσοκομείο πρέβεζας μαθητές γυμνασίων λυκείων, εμφανίζουν συμπτώματα ή έχουν εντολή γιατ…",atpreveza,Preveza,1,No hashtags
53,Τι θες νιώθει μωρε ? Το πολύ πολύ ναχει ήπια συμπτώματα γρίπης.,LLenaat,Trieste FVG ,1,No hashtags
54,πας κάνεις τεστ γιατί έχεις συμπτώματα,yioults1,"Λονδινο, Αμστερνταμ η Βερολίνο",1,No hashtags
55,Να κάνω άλλη ερώτηση; αυτό ισχύει όσους νόσησαν ή όσους πέρασαν ασυμπτωτικά ή ελάχιστα συμπτώματα;,psarros541,,1,No hashtags
56,μπορώ αποδείξω ότι συμπτώματα παρουσίαζε γηροκομείο πατέρας είχε 2014. τουλάχιστον. είναι προ…,tomstrong6,Greece tom.strong@hotmail.com,1,No hashtags
57,χωρίς αιτιολογία κύριε ;3 περιστατικά συμπτώματα είναι δεύτερος γιατρός που…,KyriacosKy,,1,"#Guillain_Barre""Αυτός"
58,"επιμένετε ακόμα κύριε 3 περιστατικά συμπτώματα δήλωση σας, αθώωση ε…",KyriacosKy,,1,#Guillain_Barre
59,ερ.:-πώς καταλάβατε ότι ασθενήσατε;μιχάλης καλογήρου: οπαύλος πολάκης συνέστησε κάνω χρήση οξύμετρου για…,Flusing2,,1,No hashtags
60,ώπα έχουμε νικητή ...!!!!,WPuKA0gpQfbx12F,"Αίγιο, Ελλάς",1,#coronavirus #Covid_19
61,ώπα έχουμε νικητή ...!!!!,_stevie,,1,#coronavirus #Covid_19
62,δεκαέξι νέα περιστατικά κορωνοϊού ανακοινώθηκαν κατεχόμενα,briefcy,Cyprus,1,#coronavirus
63,"όπως αναφέραμε νωρίτερα πρωί, νάξο εντοπίστηκαν διψήφιος αριθμών θετικών κρουσμάτων κορονοϊό, στην…",Islandpressgr,"Νάξος, Ελλάς",1,No hashtags
64,αρρωστησανε και ΤΑ ...βατραχια της λιμνης ντορβαδες... ht…,PANGKAKISTOS,,1,#Covid_19 #COVID19 #Corona #CoronavirusOutbreak #coronavirus
65,κορονοϊός: πού εντοπίζονται σημερινά κρούσματα,eretikos_gr,,1,#COVID19greece #κορονοιος #coronavirus #Lockdown3 #κρουσματα…
66,γεματα κορωνα ΙΟ ΤΑ βιβλια των βιβλιοθηκων,PANGKAKISTOS,,1,#Covid_19 #COVID19 #Corona #CoronavirusOutbreak #coronavirus
67,ακούστε ζούμε χρόνο τώρα: εργαζόμενη επιχείρηση ανεβάζει πυρετό.κάνει (rapid) test &amp; βγαίνει θετική covid-19. την…,milti_adis,,1,No hashtags
68,ακούστε ζούμε χρόνο τώρα: εργαζόμενη επιχείρηση ανεβάζει πυρετό.κάνει (rapid) test &amp; βγαίνει θετική co…,gegenos,"Rethymno, Crete",1,No hashtags
69,έντεκα κρούσματα εδώ σχολική μονάδα! έχετε γεια βρυσούλες!,evi2412,SAMOS,1,#Covid_19 #coronavirus #lockdown
70,στα 91 τεστ σήμερα 2 θετικά,kontoxwrianos,Μακεδονία,1,#κορονοιος #coronavirus
71,στα 91 τεστ σήμερα 2 θετικά,mamounaki_,Αθηνα,1,#κορονοιος #coronavirus
72,κρούσματα κορονοϊού ιχθυόσκαλα θεσσαλονίκης#covid19greec,eretikos_gr,,1,#κορονοιος #coronavirus #Lockdown3 #κρουσματα…
73,25 παιδιά νοσούν μετάλλαξη κορωνοϊού - κλείσιμο σχολείων ζητά δήμαρχος,bankingnewsgr,"Athens, Greece",1,#Θάσος: #COVID19…
74,πύργος: επιβεβαίωση κρούσμα δικαστικό μέγαρο - ανησυχία διάδοση κορωνοϊού…,ilialive_gr,ilia greece,1,No hashtags
75,"κλειστό δεκαήμερο 2ο δημ. σχολείο ρόδου, κρούσμα μαθήτρια",Tonis_skyrodos,,1,No hashtags
76,κρούσμα covid 8ο δημοτικό σχολείο τρίπολης -,drt915,Τρίπολη ,1,No hashtags
77,κρούσμα κορωνοϊού 15ο γυμνάσιο λάρισαςη ενημέρωση λάρισα θεσσαλία στο…,LarisaCityNews,"Λαρισσός, Ελλάς",1,No hashtags
78,κρούσμα κορωνοϊού 15ο γυμνάσιο λάρισαςπερισσοτερα: Η ενημέρωση κέντρο ελλά…,i_thessaly,Θεσσαλία,1,No hashtags
79,πού καταγράφηκε χθεσινό κρούσμα καστοριά,fouitgr,kastoria,1,No hashtags
80,ρέθυμνο - κρούσμα κορονοϊού τμήμα δοκίμων αστυφυλάκων,CreteDoc,"Crete , Greece",1,#CreteDoc #Ειδήσεις
81,πενεν: κρούσμα κορονοϊού νήσος μύκονος μέσω χρήστη,IkariakiRadio,Ikaria ,1,No hashtags
82,κρούσμα κορονοϊού νήσος μύκονος μέσω χρήστη,IkariakiRadio,Ikaria,1,No hashtags
83,κρούσμα κορωνοϊού τμήμα δοκίμων αστυφυλάκων ρέθυμνο,MICHAELBERTAKIS,Grecce Creta Chania,1,No hashtags
84,covid-19: νέο κρούσμα σχολείο ρόδου δημοτικές υπηρεσίες,ParaponaRodou,Rhodes Greece,1,#ΚΟΡΩΝΟΪΌΣ #ΤΟΠΙΚΑ
85,νέο κρούσμα ολυμπιακό,OlympiakosnewsG,,1,#Ολυμπιακος #Olympiacos
86,"Αν είχες, ήσουν καν κρούσμα. κάτι έχεις...",thanasisfenakis,neogyrapis',1,No hashtags
87,"κρούσμα κορωνοϊού γυναικεία ομάδα βόλεϊ ολυμπιακού 23/02/2021, 20:24",OlympiakosnewsG,,1,#Ολυμπιακος #Olympiacos
88,ένα νέο κρούσμα ομάδα βόλεϊ γυναικών,OlympiakosnewsG,,1,#Ολυμπιακος #Olympiacos
89,volley leagu γυναικών: νέο κρούσμα κορονοϊού ολυμπιακό,OlympiakosnewsG,,1,#Ολυμπιακος #Olympiacos
90,ένα νέο κρούσμα ομάδα βόλεϊ γυναικών,rednews7,Pireaus,1,No hashtags
91,αθλητισμος¨ volley leagu γυναικών: νέο κρούσμα κορονοϊού ολυμπιακό: volley leagu γυναικών: νέο κρούσμα κορον…,ioannina24,Ioannina,1,No hashtags
92,"mπηκα καραντινα επαφης κρουσμα περιμενω κανω test στην δουλεια μου:ψεκι φοραγε μασκα!και ειπε ""…",mamba_aka,Greece,1,No hashtags
93,volley leagu γυναικών: νέο κρούσμα κορονοϊού ολυμπιακό,OlympiakosnewsG,,1,#Ολυμπιακος #Olympiacos
94,mπηκα καραντινα επαφης κρουσμα περιμενω κανω test στην δουλεια μου:ψεκι φοραγε μασκα!και…,SMP28861779,,1,No hashtags
95,"Κι άλλο κρούσμα. Τι ελεγχόμενα είναι social, αφήνουν υ…",tbickle1976,"London, Paris, Aspropyrgos",1,No hashtags
96,νέο θετικό κρούσμα τμήμα γυναικών ολυμπιακού,OlympiakosnewsG,,1,#Ολυμπιακος #Olympiacos
97,ένα νέο κρούσμα ομάδα βόλεϊ γυναικών,OlympiakosnewsG,,1,#Ολυμπιακος #Olympiacos
98,23/2: ένα νέο κρούσμα σήμερα καστοριά – 18 κοζάνη &amp; 6 γρεβενά via,sentrakastoria,kastoria,1,No hashtags
99,νέο κρούσμα κορωνοϊού έκλεισε σήμερα τμήμα γυμνάσιο λάρισας,TheNewspaper8,Ελλάς,1,No hashtags
100,νέο κρούσμα κορωνοϊού έκλεισε σήμερα τμήμα γυμνάσιο λάρισας,ASTRATV1,Volos,1,No hashtags
101,νέο κρούσμα κορωνοϊού έκλεισε σήμερα τμήμα γυμνάσιο λάρισας,onlarissa,"larissa, thessaly",1,No hashtags
102,δήμος ωρωπού: κρούσμα κορονοϊού κ.ε.δ.ω. - ενεργοποιήθηκε υγειονομικό πρωτόκολλο ασφαλείας - ota voic,OTAVOICE2,"Attiki, Greece",1,No hashtags
103,κορονοϊος: ακομη ενα θετικο κρουσμα ΣΕ σουπερ μαρκετ,chiospress,chios,1,No hashtags
104,koρονοϊος: θετικο κρουσμα ΣΕ αρτοποιειο στη χιο,chiospress,chios,1,No hashtags
105,κρούσμα κορονοϊού 7ο λύκειο βόλου,taxydromosvolos,Βόλος Ελλάδα,1,No hashtags
106,κρούσμα κορωνοϊού 7ο γελ βόλου,e_thessalia,"Volos, Greece",1,No hashtags
107,κορονοϊός: κρούσμα εκπαιδευτικό 4ου δημοτικού σχολείου καβάλας. ανησυχούν γονείς μαθητών…,kavalapostgr,"Kavala, Greece",1,No hashtags
108,συναγερμός βενιζέλειο κρούσμα κορoνοϊού ογκολογική,ThanosKor,Agios Nikolaos Creta Greece,1,No hashtags
109,κρήτη – συναγερμός βενιζέλειο: κρούσμα κορονοϊού ογκολογική - -,vimapress,Hellas,1,No hashtags
110,ναύπακτος: κρούσμα 3ο γυμνάσιο,Npressgr,Ελλάς,1,No hashtags
111,νέο κρούσμα 4ο δημοτικό σχολείο τρίπολης- ποιά τμήματα κλείνουν -,drt915,Τρίπολη ,1,No hashtags
112,συναγερμός βενιζέλειο κρούσμα κορoνοϊού ογκολογική,foniengr,,1,No hashtags
113,κρήτη: κρούσμα κορονοϊού ασθενή ογκολογικής κλινικής βενιζελείου μέσω .gr,poluzoukaterina,Χανιά,1,No hashtags
114,κρούσμα επιχείρηση ναυπάκτου- «συναγερμός» υπόλοιπους εργαζόμενους -,AgrinioNews,Agrinio,1,No hashtags
115,κρήτη: κρούσμα κορονοϊού ασθενή ογκολογικής κλινικής βενιζελείου,SporadesTv,sporades,1,No hashtags
116,kορονοϊός: συναγερμός βενιζέλειο – κρούσμα ογκολογική,themakriti,,1,No hashtags
117,ηράκλειο: θετικό κρούσμα νηπιαγωγείο – Σε καραντίνα τμήμα!,VoucherErgasia,"Ηράκλειο, Ελλάς",1,No hashtags
118,κρούσμα κορωνοϊού ογκολογική βενιζέλειο -,PatrasTimes,,1,No hashtags
119,συναγερμός βενιζέλειο κρούσμα κορωνοϊού ογκολογική,GiorgosSahinis,,1,No hashtags
120,συναγερμός βενιζέλειο κρούσμα ογκολογική,neakritigr,"Crete, Greece",1,No hashtags
121,στο δήμο γρεβενών χθεσινό (δευτέρα) κρούσμα-πρόκειται 75χρονη γυναίκα στο-δήμο-γρ…,eGrevenaPortal,"Grevena, Greece",1,No hashtags
122,εγώ πάντως είχα κρούσμα σπίτι κόλλησα !!!,QuestoMagico,Athens Greece,1,No hashtags
123,εγώ πάντως είχα κρούσμα σπίτι κόλλησα !!!,aloufanpark,απαλλου,1,No hashtags
124,ηράκλειο | νεό κρούσμα κορωνοϊού ογκολογική κλινική βενιζέλειου μέσω,cna_gr,"Aghios Nikolaos, Crete",1,No hashtags
125,ηλεία: κρούσμα covid-19 εσπερινό πύργου,SporadesTv,sporades,1,No hashtags
126,Σε αναστολή τμήμα προσφύγων γυμνάσιο κοιλάδας κρούσμα κορωνοϊού,TheNewspaper8,Ελλάς,1,No hashtags
127,καταγγελία πλήρη αδιαφορία εοδυ κρούσμα κορονοϊού ρόδο,ParaponaRodou,Rhodes Greece,1,#ΚΟΡΩΝΟΪΌΣ #ΤΟΠΙΚΑ
128,Σε αναστολή τμήμα προσφύγων γυμνάσιο κοιλάδας κρούσμα κορωνοϊού,onlarissa,"larissa, thessaly",1,No hashtags
129,Σε αναστολή τμήμα προσφύγων γυμνάσιο κοιλάδας κρούσμα κορωνοϊού,ASTRATV1,Volos,1,No hashtags
130,άσε βλακείες «χρεώσουν» κρούσμα ,chrikoum,,1,No hashtags
131,"ντροπή, αίσχος! καθηγήτρια λύκειο σολέας χωρίς μάσκα τάξη! σήμερα είναι θετικό κρο…",andrioannou,,1,No hashtags
132,νέο κρούσμα κορωνοϊού 1ο γυμνάσιο τρίπολης,ArcadiaPortal,"Tripoli, Greece",1,No hashtags
133,απολύμανση δημαρχείο ηγουμενίτσας κρούσμα κορωνοϊού - ενημερωση On line,enimerosi_news,Corfu,1,No hashtags
134,"χίος : κλείνει προληπτικά lidl, κρούσμα κορωναϊού",MikeArgi,Greece,1,No hashtags
135,μοριακά τεστ μαθητές 7ου δημοτικού πιθανό νέο κρούσμα,AlithiaChios,"Χίος, Ελλάς",1,No hashtags
136,"κλείνει προληπτικά lidl, κρούσμα κορωνοϊού xios........",fafali110,,1,No hashtags
137,"όχι, φρόντιζε κάποιες μέρες πατέρα επιβεβαιωμένο κρούσμα.  έπρεπε βρίσκεται σχολικό....",loukrita,,1,No hashtags
138,"κλείνει προληπτικά lidl, κρούσμα κορωνοϊού",AlithiaChios,"Χίος, Ελλάς",1,No hashtags
139,"κρούσμα εεεεκ αγ. νικολάου: συνεχίζεται κανονικά λειτουργία σχολείου, καραντίνα επτά καθηγητές…",MICHAELBERTAKIS,Grecce Creta Chania,1,No hashtags
140,"κορονοϊός (22/2): 1 νέο κρούσμα χίο, 880 πανελλαδικά, 346 διασωληνωμένοι, 24 θάνατοι μέσω",patridachios,"Χίος, Ελλάς",1,No hashtags
141,κορωνοϊός: μόνο κρούσμα σήμερα κυκλάδες -,pstsgr,Greece,1,No hashtags
142,ένα ‑επισήμως‑ νέο κρούσμα λέσβο,stonisigr,"Mytilini, Greece",1,No hashtags
143,μόλις...1 νέο κρούσμα κορονοιου σήμερα λέσβο σύμφωνα εοδυ,LesvosPost,ΜΥΤΙΛΗΝΗ-ΛΕΣΒΟΣ,1,No hashtags
144,2 νέα κρούσμα ν. λασιθίου ανακοίνωσε εοδυ -,anatolhcom,Άγιος Νικόλαος Κρήτης,1,No hashtags
145,1 νέο κρούσμα λέσβο . κανένα λήμνο άγιο ευστράτιο,lesvospen,"Λέσβος, Λήμνος&Άγιος Ευστάτιος",1,No hashtags
146,καταγγελία πλήρη αδιαφορία εοδυ κρούσμα κορονοϊού ρόδο,SporadesTv,sporades,1,No hashtags
147,τρίπολη: τρίτο κρούσμα 1ο ημερήσιο γελ – αναστολή λειτουργίας έως 3/3/21,SporadesTv,sporades,1,No hashtags
148,"κρούσμα εεεεκ αγ. νικολάου: συνεχίζεται κανονικά λειτουργία σχολείου, καραντίνα επτά καθηγητές -…",anatolhcom,Άγιος Νικόλαος Κρήτης,1,No hashtags
149,νεος συναγερμος στο δημο πυργου : θετικός αντιδήμαρχος - νέα rapid test όλες υπηρεσίες δήμου: άμεσα ήταν ά…,2jkeg18On2y4aqw,Αμαλιαδα Ηλείας,1,No hashtags
150,νεος συναγερμος στο δημο πυργου : θετικός αντιδήμαρχος - νέα rapid test όλες υπηρεσίες δήμου: άμεσα ήταν…,IlidakamposG,ΑΜΑΛΙΑΔΑ ΗΛΕΙΑΣ,1,No hashtags
151,νέο κρούσμα μαθητή πράβι.,Paggaionet,Greece,1,No hashtags
152,ηπειρος-ειδηση: «καθαρό» κρούσματα υπνωτήριο αστέγων: από προληπτικό έλεγχο διενεργήθηκε προέκυ…,ioannina24,Ioannina,1,No hashtags
153,κέρκυρα: κρούσμα δασκάλα β’ τάξης 6ου δημοτικού σχολείου.,corfutvnews,"Κέρκυρα, Ελλάς",1,No hashtags
154,κρούσμα κορωνοϊού εεεεκ αγίου νικολάου |,radiolasithi923,"Ierapetra, Greece",1,No hashtags
155,κρούσμα δασκάλα β' τάξης 6ου δημοτικού σχολείου κέρκυρας -,StartmediaCorfu,"Κέρκυρα, Ελλάς",1,No hashtags
156,κρούσμα κορωνοϊού μαθητή 9ου νηπιαγωγείου νέας ιωνίας,ASTRATV1,Volos,1,No hashtags
157,κρούσμα κορωνοϊού μαθητή 9ου νηπιαγωγείου Ν. ιωνίας-  λειτούργησε σήμερα σχολείο,magnesianews,Volos,1,No hashtags
158,κρούσμα κορωνοϊού μαθητή 9ου νηπιαγωγείου νέας ιωνίας,e_thessalia,"Volos, Greece",1,No hashtags
159,aναστολή λειτουργίας 1ου γε.λ.τριπόλεως- τρίτο κρούσμα ίδιο σχολείο -,drt915,Τρίπολη ,1,No hashtags
160,κρούσμα κορωνοϊού εεεεκ αγίου νικολάου -,anatolhcom,Άγιος Νικόλαος Κρήτης,1,No hashtags
161,επιβεβαιωμένο κρούσμα ε.ε.ε.ε.κ. αγίου νικολάου,foniengr,,1,No hashtags
162,επιβεβαιωμένο κρούσμα ε.ε.ε.ε.κ. αγίου νικολάου,ThanosKor,Agios Nikolaos Creta Greece,1,No hashtags
163,πού καταγράφηκε χθεσινό κρούσμα καστοριά,fouitgr,kastoria,1,No hashtags
164,νέο κρούσμα κορωνοϊού 7ο νηπιαγωγείο τρίπολης,ArcadiaPortal,"Tripoli, Greece",1,No hashtags
165,φύγε βρε ύποπτο κρούσμα ,Glyka82,Thessaloniki,1,No hashtags
166,κρούσμα Σε μέλος του συμβουλίου της κοινότητας ηγουμενίτσας απολύμανση στο δημαρχείο,epirustvnews,,1,No hashtags
167,στην κρήτη 31 μαθητές διαφόρων τάξεων μπήκαν καραντίνα επειδή μετακινούνταν ίδιο λεωφορείο εντοπίστηκε…,skontras,,1,No hashtags
168,κρούσμα εταιρία κουριερ επαρχεία παρασκευή έκανα παραλαβή γραφείο έμαθα δημο…,BarbaKotsos1,Ηράκλειο,1,No hashtags
169,κρουσμα στον δημο ροδου!,ParaponaRodou,Rhodes Greece,1,#ΑΥΤΟΠΤΗΣ #ΚΟΡΩΝΟΪΌΣ #ΤΟΠΙΚΑ
170,κρούσμα κορονοϊού δημοτικό σχολείο - θετική σχολική συνοδός -,irafinagr,,1,No hashtags
171,κρούσμα κορωνοϊού δήμο ρόδου – μπήκαν καραντίνα αντιδήμαρχος τηλέμαχος καμπούρης στελέχη οικονομικών…,aegeanews,,1,No hashtags
172,κορωνοϊός: ένα νέο κρούσμα ιθάκη-884 όλη χώρα,ekefalonianet,KEFALONIA,1,No hashtags
173,κρούσμα 4ο γελ-κλείνει προληπτικά σχολείο,dimokratikinews,Rhodes Greece,1,#Δημοκρατική #Ρόδος #Δωδεκάνησα
174,mόνο aνησυχία 46 κρούσματα σαββατοκύριακο -,thoupou,"Kalamata - Athens, Greece",1,#κρούσμα #Μεσσηνία- #Αρκαδία
175,στην σάμο κάθε σχολική μονάδα έχει κρούσμα δήμαρχος φωνάζει κλείσουν όλα σχολεία τ…,NikPitsi,greece,1,No hashtags
176,κορωνοϊός (21/2): ανακοινώθηκε μόνο νέο κρούσμα μεσσηνία,Gargalianoi1,Gargalianoi,1,No hashtags
177,κορονοϊός αργολίδα: ένα νέο κρούσμα.,argolida,argolida,1,No hashtags
178,ακόμα σχολείο κρούσμα -κλείνει μουσικό σχολείο ρόδου ακόμα-ένα-σχολείο-με-κρούσμα-κλείνει-κ/,rodosreport,Ρόδος,1,No hashtags
179,σρέντερ: μια βδομάδα εκτός λόγω επαφής κρούσμα -,eBasketgr,Greece,1,No hashtags
180,1 νέο κρούσμα λέσβο,stonisigr,"Mytilini, Greece",1,No hashtags
181,1 νέο κρούσμα κορονοιου σήμερα λέσβο σύμφωνα εοδυ,LesvosPost,ΜΥΤΙΛΗΝΗ-ΛΕΣΒΟΣ,1,No hashtags
182,ένα νέο κρούσμα νομό λασιθίου ανακοίνωσε εοδυ -,anatolhcom,Άγιος Νικόλαος Κρήτης,1,No hashtags
183,κορονοϊός (21/2): ανακοινώθηκε μόνο νέο κρούσμα αργολίδα μέσω,argolika_gr,Argolida,1,No hashtags
184,κλείνει αύριο μουσικό σχολείο ρόδου θετικό κρούσμα...,dimokratikinews,Rhodes Greece,1,#Δημοκρατική #Ρόδος #Δωδεκάνησα
